                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1161,                 2.3474,                 1.6662,                 0.4147,                0.68996,                0.60988,                0.39914,                 1.2888,                 1.6171,                 1.7246,             0.00022421,             0.00022421,             0.00022421
                     35,                 1.1009,                 2.3487,                 1.6582,                0.49754,                0.67902,                0.68229,                0.47305,                 1.1516,                 1.5191,                 1.6099,             0.00022091,             0.00022091,             0.00022091
                     36,                 1.0734,                 2.3053,                 1.6446,                0.57068,                 0.6501,                 0.7074,                0.50398,                 1.1273,                 1.4323,                 1.5782,             0.00021762,             0.00021762,             0.00021762
                     37,                 1.0923,                 2.2662,                 1.6509,                0.48932,                0.64808,                0.66153,                0.52049,                0.85078,                 1.5243,                 1.3877,             0.00021432,             0.00021432,             0.00021432
                     38,                 1.0896,                 2.2686,                 1.6432,                0.41756,                0.64758,                0.61927,                0.44003,                 1.1249,                 1.5523,                 1.6026,             0.00021102,             0.00021102,             0.00021102
                     39,                 1.0705,                 2.2211,                 1.6285,                0.57763,                0.61246,                0.70022,                0.52647,                 1.0145,                 1.4358,                 1.4889,             0.00020773,             0.00020773,             0.00020773
                     40,                 1.0738,                 2.2386,                 1.6368,                0.52186,                0.71482,                0.67261,                0.48394,                 1.1125,                 1.5044,                 1.5716,             0.00020443,             0.00020443,             0.00020443
                     41,                 1.0648,                  2.182,                 1.6286,                0.51399,                0.70882,                0.71528,                0.54667,                0.96612,                 1.3806,                 1.4448,             0.00020113,             0.00020113,             0.00020113
                     42,                 1.0486,                 2.1391,                 1.6009,                0.60161,                0.67355,                0.71683,                0.55365,                0.95741,                 1.3505,                 1.4416,             0.00019784,             0.00019784,             0.00019784
                     43,                 1.0565,                 2.1226,                 1.6074,                0.63737,                0.66818,                0.74276,                0.56751,                0.95788,                 1.3513,                 1.4217,             0.00019454,             0.00019454,             0.00019454
                     44,                 1.0529,                 2.1066,                 1.6173,                0.74579,                0.64739,                0.77593,                 0.5797,                 1.0362,                 1.2565,                 1.4962,             0.00019124,             0.00019124,             0.00019124
                     45,                 1.0297,                 2.0637,                  1.587,                0.64686,                0.70893,                0.76341,                 0.6071,                0.84168,                 1.2689,                 1.3533,             0.00018795,             0.00018795,             0.00018795
                     46,                 1.0341,                 2.0124,                 1.5815,                0.54694,                0.70434,                0.74889,                0.56476,                 1.0465,                 1.2991,                 1.4865,             0.00018465,             0.00018465,             0.00018465
                     47,                 1.0293,                 2.0571,                 1.5796,                0.61984,                0.73882,                0.78642,                0.59968,                  1.018,                 1.1987,                 1.4687,             0.00018135,             0.00018135,             0.00018135
                     48,                  1.011,                 1.9775,                 1.5603,                0.58529,                 0.7733,                0.77793,                0.59409,                0.98018,                 1.2776,                 1.4478,             0.00017806,             0.00017806,             0.00017806
                     49,                0.99607,                 1.9262,                 1.5499,                0.57067,                0.68956,                0.74813,                0.57846,                0.94038,                 1.2875,                 1.4164,             0.00017476,             0.00017476,             0.00017476
                     50,                0.99078,                  1.936,                  1.544,                 0.6039,                0.75179,                0.78059,                0.59835,                0.93244,                 1.1706,                 1.3925,             0.00017146,             0.00017146,             0.00017146
                     51,                0.99995,                  1.903,                 1.5468,                0.72597,                0.75707,                0.81969,                0.59881,                 1.1111,                 1.1363,                 1.5401,             0.00016817,             0.00016817,             0.00016817
                     52,                0.97303,                  1.891,                 1.5243,                0.57858,                0.80854,                0.81045,                0.62443,                0.91721,                 1.1959,                 1.3951,             0.00016487,             0.00016487,             0.00016487
                     53,                0.98457,                 1.8927,                 1.5328,                 0.7213,                0.71344,                0.81272,                0.60727,                 1.0321,                   1.12,                 1.4647,             0.00016157,             0.00016157,             0.00016157
                     54,                0.96696,                 1.8971,                 1.5226,                0.71705,                0.68043,                0.80914,                0.63203,                0.84681,                  1.133,                 1.3244,             0.00015827,             0.00015827,             0.00015827
                     55,                0.97045,                 1.8502,                 1.5171,                0.73319,                0.72146,                0.84951,                0.64602,                0.96874,                 1.0686,                 1.4162,             0.00015498,             0.00015498,             0.00015498
                     56,                0.98702,                 1.8775,                  1.536,                0.64409,                0.81269,                0.82862,                0.63593,                0.93464,                 1.0769,                 1.3937,             0.00015168,             0.00015168,             0.00015168
                     57,                0.97139,                 1.7883,                 1.5095,                0.75115,                0.78986,                 0.8565,                0.63185,                 1.0506,                 1.0487,                 1.4803,             0.00014838,             0.00014838,             0.00014838
                     58,                0.97267,                 1.8293,                 1.5234,                 0.6808,                0.83102,                0.84977,                0.64759,                 0.9476,                 1.0401,                 1.3881,             0.00014509,             0.00014509,             0.00014509
                     59,                0.94561,                 1.7733,                 1.4971,                0.72926,                0.76811,                0.84987,                0.65734,                0.91071,                0.99882,                 1.3555,             0.00014179,             0.00014179,             0.00014179
                     60,                0.95539,                 1.7706,                 1.5028,                0.69157,                0.78791,                0.85262,                0.67707,                0.87626,                0.98353,                 1.3454,             0.00013849,             0.00013849,             0.00013849
                     61,                0.95255,                 1.7564,                 1.4983,                0.77983,                0.76208,                0.86199,                0.65226,                 1.0217,                 1.0011,                 1.4513,              0.0001352,              0.0001352,              0.0001352
                     62,                0.93613,                 1.7417,                 1.4866,                0.62684,                0.84139,                0.84337,                0.63294,                0.95153,                 1.0785,                 1.3971,              0.0001319,              0.0001319,              0.0001319
                     63,                0.94646,                 1.7068,                 1.4833,                0.78556,                0.80868,                0.88412,                0.68768,                0.90769,                0.98694,                 1.3657,              0.0001286,              0.0001286,              0.0001286
                     64,                0.93282,                 1.6893,                 1.4711,                0.80546,                0.80762,                0.87905,                0.65931,                 1.0521,                0.95616,                 1.4652,             0.00012531,             0.00012531,             0.00012531
                     65,                0.94056,                 1.6846,                  1.487,                0.69148,                0.80049,                0.83818,                0.62775,                 1.0277,                 1.0396,                 1.4443,             0.00012201,             0.00012201,             0.00012201
                     66,                0.91091,                 1.6453,                 1.4602,                 0.7715,                0.83639,                0.87106,                0.66645,                0.98188,                0.95028,                 1.4055,             0.00011871,             0.00011871,             0.00011871
                     67,                0.90542,                 1.6559,                 1.4557,                0.74585,                0.79814,                0.85489,                0.65085,                   1.01,                 1.0006,                 1.4319,             0.00011542,             0.00011542,             0.00011542
                     68,                0.90342,                 1.6349,                 1.4472,                 0.7588,                0.82164,                0.87491,                0.65902,                 1.0101,                0.97971,                 1.4371,             0.00011212,             0.00011212,             0.00011212
                     69,                0.89457,                 1.6315,                 1.4453,                0.71259,                0.80391,                0.85405,                0.65446,                0.95126,                0.96577,                 1.3902,             0.00010882,             0.00010882,             0.00010882
                     70,                0.89445,                 1.5877,                 1.4354,                0.76773,                0.82635,                0.89388,                0.70171,                0.89681,                0.91194,                 1.3394,             0.00010553,             0.00010553,             0.00010553
                     71,                0.90838,                 1.6266,                 1.4556,                0.75784,                 0.8182,                0.86943,                0.67289,                0.93742,                0.92399,                 1.3717,             0.00010223,             0.00010223,             0.00010223
                     72,                0.89819,                 1.5945,                 1.4366,                0.75418,                0.83645,                0.88673,                0.68639,                0.94506,                0.92751,                  1.385,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     73,                0.89808,                 1.5797,                 1.4385,                0.82036,                 0.8288,                0.89721,                 0.7111,                0.89684,                0.89515,                 1.3408,             9.5638e-05,             9.5638e-05,             9.5638e-05
