                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0283,                 5.3529,                 4.1627,                      0,                      0,                      0,                      0,                 2.6842,                 4.8077,                 4.0097,             0.00010983,             0.00010983,             0.00010983
                      2,                 2.9605,                  5.249,                 4.0106,                0.00108,                0.34455,                0.00577,                0.00169,                 2.5598,                 4.6697,                 3.5672,             0.00014796,             0.00014796,             0.00014796
                      3,                 2.8791,                 5.1616,                 3.7878,                0.00122,                0.46227,                0.02271,                0.00708,                 2.4793,                 4.4287,                 3.4415,             0.00011282,             0.00011282,             0.00011282
